#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2014-08-08T10:07:21 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ53e4a0d167e0	
#INFO	-out.max=unlimited	
#INFO	queryParameters=27	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=V/70A/catalog
#-nav=cat:V/70A&tab:{V/70A/catalog}&key:source=V/70A&HTTPPRM:&&-ref=VIZ53e4a0d167e0&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Name&-out=RAB1950&-out=DEB1950&-out=pm&-out=pmPA&-out=RV&-out=Sp&-out=Vmag&-out=B-V&-out=trplx&-out=plx&-out=Mv&-out=OtherName&-out=Remarks&-out=_RA.icrs&-out=_DE.icrs&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=V/70A/catalog
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/70A/catalog
#-order=I
#-out=Name
#-out=RAB1950
#-out=DEB1950
#-out=pm
#-out=pmPA
#-out=RV
#-out=Sp
#-out=Vmag
#-out=B-V
#-out=trplx
#-out=plx
#-out=Mv
#-out=OtherName
#-out=Remarks
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_5070
#Name: V/70A
#Title: Nearby Stars, Preliminary 3rd Version (Gliese+ 1991)
#Coosys	B1950:	eq_FK4 B1950
#Table	V_70A_catalog:
#Name: V/70A/catalog
#Title: The Catalogue
#Column	Name	(A8)	Identifier ; see remarks.	[ucd=meta.id;meta.main]
#Column	RAB1950	(A8)	? Right Ascension B1950	[ucd=pos.eq.ra;meta.main]
#Column	DEB1950	(A8)	? Declination B1950	[ucd=pos.eq.dec;meta.main]
#Column	pm	(F6.3)	? Total proper motion	[ucd=pos.pm]
#Column	pmPA	(F5.1)	? Direction angle of proper motion	[ucd=pos.pm;pos.posAng]
#Column	RV	(F6.1)	? Radial velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Sp	(a12)	Spectral type or color class	[ucd=src.spType]
#Column	Vmag	(F6.2)	Apparent magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	? color	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	trplx	(F6.1)	? Trigonometric parallax	[ucd=pos.parallax.trig]
#Column	plx	(F6.1)	? Resulting parallax	[ucd=pos.parallax.trig]
#Column	Mv	(F5.2)	Absolute visual magnitude	[ucd=phys.magAbs]
#Column	OtherName	(A5)	Other designations	[ucd=meta.id]
#Column	Remarks	(a69)	Additional identifications (LTT, LFT, Wolf, Ross, etc.) and remarks	[ucd=meta.note]
#Column	_RA.icrs	(A8)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A8)	Declination (ICRS) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
Name|RAB1950|DEB1950|pm|pmPA|RV|Sp|Vmag|B-V|trplx|plx|Mv|OtherName|Remarks|_RA.icrs|_DE.icrs
Gl 730  |18 47 31|+03 02.1| 0.473|203.0|  -1.4|dM1.5       | 10.74| 1.47|  58.9|  58.9| 9.59|V064 |AC+03:2528-176                                                       |18 50 00.7|+03 05 16
NN 4081 |18 47 35|-60 49.6| 0.698|298.9|      |m           | 13.40|     |      |  49.0|11.90|     |LTT 7469 L 159-20                                                    |18 52 01.3|-60 45 43
NN 4082 |18 48 35|-57 09.8| 0.805|196.9|      |M2          | 12.14| 1.47|  30.6|  45.0|10.41|     |LTT 7481 L 207-33 Sm 23                                              |18 52 48.3|-57 06 47
NN 4083 |18 49 23|+47 54.8| 0.277|115.0|      |m           | 12.53|     |      |  58.0|11.35|     |                                                                     |18 50 45.8|+47 58 19
NN 4084 |18 49 37|+24 23.8| 0.374|263.0|      |m           | 12.76|     |      |  47.0|11.12|     |LTT 15549 L 1354-11 LP 391-10                                        |18 51 39.8|+24 27 25
Gl 731  |18 49 38|+16 31.8| 0.537|207.9| -14.9|dM1.5       | 10.15| 1.47|  74.8|  74.8| 9.52|V186 |AC+16:247-80                                                         |18 51 51.5|+16 35 04
NN 4085 |18 50 01|-54 25.1| 0.208|108.8|      |K3 V        |  9.18| 1.13|      |  40.0| 7.19|     |CP-54:9142 LTT 7488 L 273-102                                        |18 54 06.8|-54 21 24
NN 4086 |18 50 01|-54 25.1| 0.208|108.8|      |m           | 12.30|     |      |  40.0|10.30|     |LTT 7489 L 273-101  sep 11" 357d                                     |18 54 06.8|-54 21 24
Gl 732  |18 50 15|-38 39.8| 1.011|161.1|      |sdG0        | 12.70| 1.53|  75.2|  75.2|12.08|     |L 489-58                                                             |18 53 42.2|-38 36 50
Gl 732  |18 50 15|-38 39.8| 1.011|162.0|      |            | 16.00|     |  75.2|  75.2|15.00|     |sep 12" (LHS, but not in NLTT)                                       |18 53 42.2|-38 36 51
Gl 732.1|18 50 28|+52 54.6| 0.259|354.6|  -1.6|G9 IVa      |  5.50| 0.84|  41.5|  41.5| 3.59|     |                                                                     |18 51 35.4|+52 58 30
NN 4087 |18 51 54|-37 33.5| 0.378|159.6| -24.6|K1 V        |  8.11| 0.88|  36.9|  41.0| 6.17|     |LTT 7499                                                             |18 55 18.3|-37 29 55
Wo 9637 |18 52 06|-22 44.1| 0.105|103.7| 104.2|K3 IIIa:    |  4.99| 1.33|  40.0|  40.0| 3.00|     |                                                                     |18 55 07.3|-22 40 15
Gl 734  |18 52 33|+10 54.6| 0.120| 95.0| -26.8|dM0         |  9.44| 1.36|  62.1|  62.1| 8.41|V187 |V(AB) = 9.37 d(m) = 2.5 :                                            |18 54 54.6|+10 58 28
Gl 734  |18 52 33|+10 54.6| 0.120| 95.0|      |            | 12.30|     |  62.1|  62.1|11.30|     |sep 5.2" 21d (1961)                                                  |18 54 54.6|+10 58 28
Gl 735  |18 53 03|+08 20.3| 0.130|129.0| -13.5|dM3  e      | 10.11| 1.53|  88.6|  88.6| 9.85|V188 |AC+08:142-393                                                        |18 55 27.6|+08 24 09
Gl 736  |18 53 12|+04 12.1| 0.099|181.7|  20.1|G8 V        |  8.03| 0.90|  68.8|  42.0| 6.15|     |                                                                     |18 55 41.0|+04 15 57
Gl 737  |18 53 21|-56 03.1| 0.412|186.2| -13.5|K7 V        |  9.45| 1.42|  73.1|  73.1| 8.77|U463 |Sm 24  V(AB) = 8.96 d(m) = 0.55                                      |18 57 30.8|-55 59 26
Gl 737  |18 53 21|-56 03.1| 0.412|186.2| -15.8|K5 V        | 10.00|     |  73.1|  73.1| 9.32|     |sep 5.0" 295d - 3.6" 319d (1892-1959)                                |18 57 30.8|-55 59 26
Wo 9638 |18 53 47|+23 29.7| 0.314|155.4|  10.3|K2          |  8.09| 0.91|  40.9|  40.9| 6.15|     |LTT 15564 V775 Her                                                   |18 55 53.0|+23 33 25
NN 4088 |18 54 45|+07 30.5| 0.182|227.0|      |m           | 11.20|     |      |  48.0| 9.61|     |LP 571-80                                                            |18 57 09.8|+07 34 26
NN 4089 |18 55 00|+46 18.6| 0.323| 13.0|      |m           | 13.95|     |      |  47.0|12.31|     |                                                                     |18 56 26.2|+46 22 53
Gl 738  |18 55 09|+32 50.2| 0.224|135.3| -45.8|F9 V        |  5.34| 0.59|  56.5|  56.5| 4.10|     |ADS 11871  V(AB) = 5.22 d(m) = 2.32                                  |18 57 01.5|+32 54 07
Gl 738  |18 55 09|+32 50.2| 0.224|135.3|      |K1 V        |  7.70|     |  56.5|  56.5| 6.50|     |a = 1.24" P = 61.203 yr                                              |18 57 01.5|+32 54 07
NN 4090 |18 55 13|+54 28.1| 0.320|178.0|      |dM0         | 10.44| 1.38|  20.0|  42.0| 8.56|V806 |                                                                     |18 56 16.0|+54 31 51
NN 4091 |18 55 15|+54 26.1| 0.320|178.0|      |m           | 12.04| 1.56|  20.0|  42.0|10.16|     |sep 120" 169d                                                        |18 56 18.1|+54 29 51
Gl 739  |18 55 20|-48 20.2| 0.509|163.0|      |M3          | 11.15| 1.46|  87.1|  87.1|10.85|     |CFS 18398 Sm 26                                                      |18 59 07.2|-48 16 29
Gl 740  |18 55 34|+05 51.4| 1.245|189.6|  10.4|M2 V        |  9.22| 1.46|  94.6|  94.6| 9.10|V190 |                                                                     |18 58 00.4|+05 54 28
Wo 9639 |18 56 55|+30 06.5| 0.200| 15.4| -39.5|G2 V        |  6.79| 0.58|  40.6|  35.0| 4.51|     |LTT 15573                                                            |18 58 51.4|+30 10 50
NN 4092 |18 57 13|+07 55.1| 0.408|115.0|      |M2          | 10.86| 1.42|      |  43.0| 9.03|     |LTT 15574 L 1138-44                                                  |18 59 39.0|+07 59 10
Gl 740.1|19 00 10|-00 47.0| 0.130|198.1|  -7.2|dG5         |  8.43| 0.73|  54.3|  54.3| 7.10|     |                                                                     |19 02 44.5|-00 42 41
Gl 741  |19 00 29|-13 38.1| 0.780|225.8|      |M4  :       | 14.85| 1.56|  53.1|  53.1|13.48|     |L 850-062                                                            |19 03 16.5|-13 34 06
Gl 742  |19 00 39|+70 35.1| 0.536|  9.6|      |DXP5        | 13.20| 0.05|  74.8|  74.8|12.57|W129 |LFT 1446 AC+70:8247                                                  |19 00 10.3|+70 39 54
Wo 9641 |19 01 41|-21 49.0| 0.100|127.1|  27.2|K0 III      |  3.77| 1.01|  43.1|  43.1| 1.90|     |                                                                     |19 04 40.8|-21 44 30
NN 4093 |19 02 54|+70 21.0| 0.205|  7.0|      |m           | 12.54|     |      |  42.0|10.66|     |LP 045-128                                                           |19 02 27.5|+70 25 41
NN 4094 |19 02 55|+63 55.0|      |     |      |M0          | 10.60| 1.42|      |  40.0| 8.60|     |Steph 1676  sep 3" 70d d(R) = 3.  Weis; V(AB) = 10.55 d(m) = 3.5  :  |19 03 17.3|+63 59 32
Gl 743  |19 03 00|+22 59.8| 0.325| 43.2| -16.9|G9          |  8.55| 0.81|  57.1|  28.0| 5.79|     |                                                                     |19 05 07.3|+23 04 36
Gl 743.1|19 03 02|-37 08.2| 0.289|160.9| -53.2|F8 V        |  4.87| 0.52|  52.8|  68.0| 4.03|     |GAM Cra  V(AB) = 4.19 d(m) = 0.13                                    |19 06 24.7|-37 03 46
Gl 743.1|19 03 02|-37 08.2| 0.289|160.9| -51.3|F8 V        |  5.00|     |  52.8|  68.0| 4.16|     |a = 1.907" P = 120.42 yr Heintz 1963                                 |19 06 24.7|-37 03 46
NN 4095 |19 03 06|+13 47.5| 0.100|185.0| -25.0|A0 Vn       |  2.99| 0.01|  39.8|  39.8| 1.00|     |BS 7235 ADS 12026   sep 158.6"  d(m) = 8.4                           |19 05 24.0|+13 52 02
Gl 743.2|19 03 18|+25 50.7| 0.059|225.6| -71.5|dK2         |  7.22| 1.03|  20.0|  20.0| 3.73|     |                                                                     |19 05 20.5|+25 55 17
Gl 744  |19 03 30|-37 53.0| 0.417|208.3|  58.5|G5 IV       |  6.15| 0.71|  61.2|  61.2| 5.08|     |                                                                     |19 06 52.8|-37 48 37
Wo 9643 |19 03 49|-27 44.7| 0.255|192.0|  45.4|K1 III      |  3.32| 1.19|  43.1|  43.1| 1.50|     |LTT 7571                                                             |19 06 56.3|-27 40 12
Gl 745  |19 04 58|+20 48.8| 0.578|234.7|  32.1|sdM2        | 10.76| 1.58| 112.2| 112.2|11.01|     |AC+20:1463-148                                                       |19 07 05.7|+20 53 16
Gl 745  |19 05 05|+20 48.1| 0.578|234.7|  31.7|sdM2        | 10.75| 1.58| 112.2| 112.2|11.00|     |AC+20:1463-154                                                       |19 07 12.7|+20 52 34
NN 4096 |19 05 18|-42 30.4| 0.127|166.4| -32.0|K1 V        |  7.88| 0.86|      |  43.0| 6.05|     |CP-42:8610                                                           |19 08 50.5|-42 25 41
NN 4097 |19 05 19|-31 03.1| 0.096|134.0|      |K0 V        |  7.82|     |      |  39.0| 5.78|     |$ mod = 2.03 Olsen                                                   |19 08 31.5|-30 58 21
Gl 746  |19 05 43|+16 46.6| 0.310|169.0|  14.8|G5 V        |  6.07| 0.70|  59.5|  59.5| 4.94|     |                                                                     |19 07 57.7|+16 51 09
Gl 747  |19 05 45|+32 27.0| 1.635| 48.9| -47.0|M3.5 J      | 11.86| 1.70| 122.6| 122.6|12.30|     |AC+32:54804 ADS 12061C  V(AB) = 11.25 d(m) = 0.3                     |19 07 42.9|+32 32 42
Gl 747  |19 05 45|+32 27.0| 1.635| 48.9|      |M5   K      | 12.16|     | 122.6| 122.6|12.60|     |sep < 0.35"                                                          |19 07 42.9|+32 32 42
GJ 1231 |19 06 15|+26 30.6| 0.539|202.6|      |m           | 15.16| 1.91|  58.0|  58.0|13.98|     |                                                                     |19 08 16.1|+26 35 01
Gl 747.1|19 06 29|-14 49.4| 0.549|158.5|      |M3          | 12.02| 1.50|  46.9|  46.9|10.38|     |Ross 727                                                             |19 09 20.4|-14 44 57
NN 4098 |19 06 37|+32 12.1| 0.311|225.0|      |m           | 11.80|     |      |  81.0|11.34|     |LTT 15607 L 1499-34 LP 336-4                                         |19 08 29.6|+32 16 46
Gl 747.2|19 07 04|+33 58.8| 0.101|306.6|  11.2|dK6         |  9.43| 1.24|  35.0|  46.0| 7.74|V192 |                                                                     |19 08 54.3|+34 03 44
Gl 747.3|19 07 10|-47 14.0| 0.632|183.9|   2.0|K7 V        |  9.36| 1.32|  47.5|  59.0| 8.21|U465 |Sm 29 CD-47:12773                                                    |19 10 52.5|-47 09 34
NN 4099 |19 07 39|+39 07.5|      |     |      |M0          | 11.33| 1.53|      |  55.0|10.03|     |Steph 1680                                                           |19 09 20.8|+39 12 25
GJ 1232 |19 07 40|+17 35.5| 0.740|227.0| -12.0|k-m         | 13.52| 1.85|  93.6|  93.6|13.38|     |                                                                     |19 09 51.6|+17 40 01
NN 4100 |19 08 07|+01 27.4| 0.260|220.0|      |g           | 12.18| 1.50|      |  41.0|10.20|     |LTT 15613                                                            |19 10 38.6|+01 32 13
NN 4101 |19 08 14|+79 40.4| 0.198|355.6| -32.2|dK8         |  9.72| 1.10|  46.3|  33.0| 7.31|V807 |                                                                     |19 04 54.9|+79 45 21
Gl 747.4|19 08 19|-55 57.0| 0.330|238.0|      |k-m         | 11.31| 1.45|  54.0|  54.0| 9.97|     |Sm 31                                                                |19 12 25.2|-55 52 06
NN 4102 |19 09 13|-82 37.8| 1.261|165.0|      |M3.5        | 12.70|     |      |  63.0|11.70|     |LTT 7606 L 22-69                                                     |19 20 02.9|-82 33 28
NN 4103 |19 09 18|+32 35.0| 0.244|225.0|      |m           | 10.48|     |      |  48.0| 8.89|     |LP 336-6                                                             |19 11 10.3|+32 39 54
NN 4104 |19 09 32|-39 07.2| 0.503|106.3|      |M3          | 12.70|     |      |  52.0|11.30|     |LTT 7605 L 491-42                                                    |19 12 59.5|-39 02 12
Gl 748  |19 09 38|+02 48.6| 1.801|105.8| -42.6|dM4         | 11.10| 1.51|  99.4|  99.4|11.09|     |AC+02:2155-242                                                       |19 12 14.4|+02 53 17
NN 4105 |19 10 40|+35 28.8| 0.250|124.0|      |m           | 12.01| 1.56|  58.0|  58.0|10.83|     |                                                                     |19 12 29.3|+35 33 49
Wo 9648 |19 10 48|+49 45.7| 0.667|340.0| -39.8|G6 V        |  6.57| 0.65|  43.5|  43.5| 4.76|     |LFT 1459                                                             |19 12 05.3|+49 51 21
Wo 9648 |19 10 47|+49 45.6| 0.668|343.7| -41.2|G6 V        |  6.75| 0.65|  43.5|  43.5| 4.94|     |LFT 1460                                                             |19 12 04.6|+49 51 15
Gl 748.1|19 11 01|+76 28.7| 0.128|161.7|   0.8|F2 V        |  5.13| 0.31|  47.3|  47.3| 3.50|     |                                                                     |19 09 09.7|+76 33 38
GJ 1233 |19 11 16|+57 34.8| 0.451| 26.7| -26.3|G8 V        |  7.04| 0.79|  39.1|  54.0| 5.70|     |                                                                     |19 12 10.8|+57 40 17
Gl 748.2|19 12 26|+02 04.3| 0.513| 41.9|      |K4          | 10.20| 1.19|  45.9|  45.9| 8.51|     |                                                                     |19 14 58.6|+02 09 54
Gl 748.2|19 12 26|+02 04.3| 0.513| 41.9|      |k-m         | 11.17| 1.36|  45.9|  45.9| 9.48|     |Ross 651  sep 9" 176d (NLTT)                                         |19 14 58.6|+02 09 54
Wo 9652 |19 12 30|+19 13.4| 0.726|305.3|      |M3          | 11.55|     |  47.9|  47.9| 9.95|     |LTT 15634 LFT 1463 Ross 733  double?                                 |19 14 39.5|+19 19 01
Wo 9652 |19 12 30|+19 12.7| 0.726|305.3|      |M3.5        | 13.27|     |  47.9|  47.9|11.67|     |LTT 15635 LFT 1464 Ross 734   sep 45" 178d                           |19 14 39.5|+19 18 19
Gl 750  |19 13 03|-45 58.4| 0.450|154.0| -36.8|K9 V J      | 10.12| 1.42|  72.6|  72.6| 9.42|     |Sm 34  V(AB) = 9.37 d(m) = 0.0                                       |19 16 43.1|-45 53 23
Gl 750  |19 13 03|-45 58.4| 0.450|154.0|      |            | 10.10|     |  72.6|  72.6| 9.40|     |sep 0.2" 348d - 0.2" 43d (1929-1949)                                 |19 16 43.1|-45 53 23
Gl 751  |19 13 14|+24 48.3| 0.305| 51.0| -70.1|dM0         |  9.72| 1.35|  26.9|  51.0| 8.26|V193 |                                                                     |19 15 19.3|+24 53 47
Gl 752  |19 14 29|+05 05.8| 1.466|204.2|  36.3|M3.5Ve      |  9.11| 1.50| 176.7| 176.7|10.35|V065 |                                                                     |19 16 55.1|+05 10 06
Gl 752  |19 14 32|+05 04.7| 1.461|203.1|      |dM5  e      | 17.52| 2.20| 176.7| 176.7|18.76|     |VB 10                                                                |19 16 58.2|+05 09 00
NN 4106 |19 15 48|-53 48.0| 0.102|164.0|      |M2          | 10.82| 1.58|      |  84.0|10.44|     |Sm 36 BPM 26134                                                      |19 19 47.9|-53 42 31
Gl 754  |19 17 07|-45 36.7| 2.945|167.3|  16.0|M4.5        | 12.23| 1.68| 175.7| 175.7|13.45|     |L 347-014                                                            |19 20 48.1|-45 33 27
GJ 1234 |19 17 15|+38 38.0| 0.250|179.0|      |DC7         | 14.57| 0.44|  85.6|  85.6|14.23|W375 |                                                                     |19 18 58.4|+38 43 22
Gl 754.2|19 17 53|+37 14.4| 0.169|196.0|   1.8|G8 V        |  6.31| 0.68|  40.7|  60.0| 5.20|     |                                                                     |19 19 38.7|+37 19 53
Gl 754.1|19 17 53|-07 45.6| 0.199|198.0|      |DQ5         | 12.28| 0.06|  98.8|  98.8|12.25|W131 |LTT 7658 L 923-21 LDS 678A AC-07:342-402                             |19 20 35.1|-07 40 06
Gl 754.1|19 17 51|-07 45.3| 0.199|198.0|  10.0|dM5         | 12.12| 1.63|  98.8|  98.8|12.09|     |AC-07:342-397 L 923-22                                               |19 20 33.1|-07 39 48
Gl 755  |19 18 12|-35 04.6| 0.123|131.7| -10.2|G5 V        |  6.48| 0.62|      |  48.0| 4.89|     |                                                                     |19 21 30.2|-34 58 58
NN 4107 |19 18 46|-17 56.6| 0.035|313.1|   1.2|F0 IV       |  3.93| 0.23|  39.1|  39.1| 1.89|     |                                                                     |19 21 40.0|-17 50 51
Gl 755.1|19 19 23|+14 34.9| 0.090|180.0|  35.0|DA5         | 13.01| 0.06|  50.9|  50.9|11.54|W201 |BPM 94172 GD 219                                                     |19 21 40.4|+14 40 34
GJ 1235 |19 19 32|+20 47.5| 1.751|212.6|  93.0|k-m         | 13.38| 1.71|  98.4|  98.4|13.34|     |                                                                     |19 21 38.6|+20 52 01
GJ 1236 |19 19 39|+06 57.2| 0.836|242.3|  32.0|m           | 12.35| 1.69|  91.5|  91.5|12.16|     |                                                                     |19 22 02.6|+07 02 39
Gl 756  |19 19 49|+28 34.0| 0.900| 73.7| -30.6|M1          | 11.53| 1.41|  44.6|  44.6| 9.78|     |AC+28:53670                                                          |19 21 51.9|+28 39 59
Gl 756.1|19 20 14|-66 34.3| 0.324|316.5|  37.9|K5 V        |  8.40| 1.04|  38.8|  43.0| 6.57|     |                                                                     |19 25 09.8|-66 28 12
NN 4108 |19 20 42|+29 20.6| 0.704|179.7|      |m           | 15.37| 1.82|  47.6|  47.6|13.76|     |                                                                     |19 22 40.6|+29 25 50
Gl 757  |19 21 36|-22 09.3| 0.494|206.3|      |K4          | 10.92| 1.41|  47.4|  47.4| 9.30|     |                                                                     |19 24 34.4|-22 03 45
Gl 758  |19 21 41|+33 07.3| 0.190| 24.2| -20.6|K0 V        |  6.37| 0.81|  56.7|  56.7| 5.14|     |                                                                     |19 23 34.2|+33 13 20
Gl 759  |19 22 35|+11 50.2| 0.966| 48.4|-100.6|G8 IV       |  5.16| 0.77|  64.3|  64.3| 4.20|     |                                                                     |19 24 58.1|+11 56 42
Gl 760  |19 22 59|+03 00.8| 0.268| 72.0| -29.9|F0 IV       |  3.36| 0.32|  72.5|  72.5| 2.66|     |DEL Aql                                                              |19 25 30.3|+03 06 52
NN 4109 |19 23 08|+28 15.0| 0.410| 24.9|      |M3.5        | 12.48| 1.56|      |  67.0|11.60|     |LTT 15670 Ross 164 = LTT 15673 L 1427-13                             |19 25 08.9|+28 21 18
NN 4110 |19 24 36|+16 37.0| 0.212|163.0|      |m           | 13.09|     |      |  57.0|11.87|     |LTT 15678 L 1284-53 LP 452-10                                        |19 26 51.4|+16 42 56
GJ 1237 |19 25 02|+49 21.2| 0.843| 32.8| -65.3|K3 V        |  8.01| 0.93|  40.7|  48.0| 6.42|     |                                                                     |19 26 25.6|+49 27 54
GJ 1238 |19 25 40|+75 26.7| 0.681| 33.8|      |m+          | 15.37| 1.94|  90.7|  90.7|15.16|     |                                                                     |19 24 18.1|+75 33 14
NN 4111 |19 26 38|+07 03.2| 0.348| 50.0|      |K7          | 10.71| 1.41|      |  47.0| 9.10|     |LTT 15688 L 1140-40 LP 572-18                                        |19 29 05.0|+07 09 38
Wo 9657 |19 26 47|-27 05.4| 0.053|139.0| -31.4|K3 III      |  5.52| 1.12|  43.8|  21.0| 2.10|     |                                                                     |19 29 52.5|-26 59 09
Wo 9657 |19 26 47|-27 05.4| 0.053|139.0| -31.8|            |  8.69| 0.86|  43.8|  21.0| 5.30|     |                                                                     |19 29 52.5|-26 59 09
Gl 761.1|19 27 26|+31 30.6| 0.400|183.3| -10.0|G7 IV       |  6.96| 0.71|  48.4|  48.4| 5.38|     |                                                                     |19 29 21.7|+31 36 33
Wo 9659 |19 28 12|-06 37.1| 0.194|223.0|  58.4|G0          |  7.29| 0.64|  41.9|  33.0| 4.88|     |LTT 7713                                                             |19 30 52.5|-06 30 51
GJ 1239 |19 29 14|-35 33.7| 0.329|298.3|      |K5 V        |  8.71| 1.11|      |  50.0| 7.20|U468 |LTT 7719                                                             |19 32 30.6|-35 27 07
GJ 1240 |19 29 20|-11 23.0| 0.233| 85.5| -48.1|K2 V        |  7.57| 0.92|      |  57.0| 6.35|U469 |LTT 7720                                                             |19 32 06.9|-11 16 33
Gl 761.2|19 30 04|+00 28.2| 0.250| 79.0| -47.9|dM0.5       | 10.43| 1.45|  44.6|  44.6| 8.68|V195 |                                                                     |19 32 38.0|+00 34 43
NN 4112 |19 30 06|-52 32.0| 0.255|181.0|      |M4          | 12.80| 1.55|      |  39.0|10.76|     |LTT 7723 L 275-26 BPM 26201 Sm 39                                    |19 33 59.9|-52 25 41
Gl 762  |19 30 10|-62 56.9| 0.500|226.4|      |m+          | 12.17| 1.48|  60.2|  60.2|11.07|     |L 160-102                                                            |19 34 41.2|-62 50 38
Gl 762.1|19 30 18|+58 29.0| 0.648|232.8|  11.4|K1 V        |  6.59| 0.87|  48.6|  48.6| 5.02|     |                                                                     |19 31 07.8|+58 35 07
Wo 9661 |19 31 39|+07 16.3| 0.264|126.1| -25.1|K3 IIIb     |  4.45| 1.17|  46.1|  46.1| 2.77|     |LTT 15709                                                            |19 34 05.6|+07 22 45
NN 4113 |19 31 56|+39 25.3| 0.465|151.0|      |M2.5        | 11.70|     |      |  60.0|10.59|     |LTT 15711 Ross 1063                                                  |19 33 40.2|+39 31 32
Gl 763  |19 32 09|+04 28.1| 0.605| 59.9| -57.4|dM0.5       |  9.36| 1.39|  73.7|  73.7| 8.70|V196 |                                                                     |19 34 39.7|+04 34 58
Gl 764  |19 32 28|+69 34.6| 1.822|162.0|  28.2|K0 V        |  4.68| 0.79| 178.2| 178.2| 5.93|     |SIG Dra                                                              |19 32 21.9|+69 39 43
NN 4114 |19 32 41|+08 21.0| 0.054|222.0| -20.5|dM1         | 10.38| 1.46|  28.3|  48.0| 8.79|V811A|AC+08:147-294                                                        |19 35 05.6|+08 27 37
NN 4115 |19 32 41|+08 21.0| 0.054|222.0|      |            | 12.52| 1.52|  28.3|  48.0|10.93|V811B|sep 6.2" 9d                                                          |19 35 05.6|+08 27 37
NN 4116 |19 33 02|+51 07.7| 0.185|173.6|   0.4|F7 V        |  5.73| 0.48|  35.3|  41.0| 3.79|     |                                                                     |19 34 19.7|+51 14 11
NN 4117 |19 33 41|+53 08.3| 0.572| 29.0|      |M3          | 12.20| 1.64|      |  57.0|11.00|     |LTT 15717 Wolf 1108                                                  |19 34 54.5|+53 15 24
Gl 764.1|19 34 02|-10 33.1| 0.385|225.7|  68.0|K2 V        |  8.58| 1.01|  52.5|  52.5| 7.18|U472 |ADS 12664  V(AB) = 8.36 d(m) = 1.6                                   |19 36 46.2|-10 26 34
Gl 764.1|19 34 02|-10 33.1| 0.385|225.7|  68.6|K7          | 10.20|     |  52.5|  52.5| 8.80|     |sep 2.8" 340d - 5.0" 328d (1832-1959)                                |19 36 46.2|-10 26 34
Gl 764.2|19 34 45|-14 24.8| 0.179|215.7| -15.4|F7 V        |  5.47| 0.50|  45.0|  50.0| 3.96|     |                                                                     |19 37 34.0|-14 18 07
Gl 765  |19 35 06|+50 06.3| 0.260|355.5| -27.3|F4 V        |  4.48| 0.38|  54.0|  54.0| 3.14|     |THE Cyg ADS 12695                                                    |19 36 26.5|+50 13 18
Gl 765  |19 35 06|+50 06.3| 0.260|355.5|      |            | 13.00|     |  54.0|  54.0|11.70|     |                                                                     |19 36 26.5|+50 13 18
GJ 1241 |19 35 10|+27 36.4| 0.405| 85.0|      |DAV5        | 12.98| 0.17|  55.6|  55.6|11.71|W277 |                                                                     |19 37 13.3|+27 43 14
NN 4118 |19 36 07|+33 46.7| 0.107|297.3|      |G5          |  7.47|     |      |  41.0| 5.53|     |                                                                     |19 37 59.6|+33 53 36
Wo 9664 |19 38 18|-59 07.5| 0.256|137.9|  19.5|G5 V        |  7.48| 0.71|  39.7|  36.0| 5.26|     |LTT 7783                                                             |19 42 33.9|-59 00 34
Wo 9664 |19 38 18|-59 07.5| 0.256|137.9|      |            |  8.70|     |  39.7|  36.0| 6.50|     |                                                                     |19 42 33.9|-59 00 34
NN 4119 |19 39 19|-45 11.8| 0.242|188.0|      |M1          | 10.01| 1.34|  34.0|  51.0| 8.55|     |LTT 7786 CFS 18799 CP-45:9776 Sm 42                                  |19 42 53.3|-45 04 52
GJ 1242 |19 39 24|+03 02.5| 0.536|209.5|      |m           | 12.88| 1.60|  42.7|  42.7|11.03|     |                                                                     |19 41 53.6|+03 09 13
NN 4120 |19 40 06|+71 45.5| 0.454|205.0|      |M0.5        | 10.96| 1.48|  48.1|  48.1| 9.37|     |LTT 18490 AC+71:8595                                                 |19 39 33.5|+71 52 12
Gl 765.1|19 40 29|+50 24.5| 0.214|225.9| -27.4|G2 V        |  5.96| 0.64|  35.2|  43.0| 4.13|     |                                                                     |19 41 48.8|+50 31 31
